nominal_head_form,nominal_head_upos,nominal_head_deprel,head_is_plural,modifier_is_plural,nominal_head_ī,nominal_head_consonant_ending,modifier_consonant_ending,modifier_form,modifier_upos,modifier_deprel,distance,position,np_depth,num_dependents_head,num_dependents_modifier,has_anchor_dependent,modifier_is_propn,ezafe_label,relative_position_in_sent,head_feats,modifier_feats,nmod_count,amod_count,ezafe_like_lemma_between
ōšnar,PROPN,iobj,0,0,0,1,1,dānāg,ADJ,amod,0,1,2,1,1,0,0,1,0.4,False,False,0,1,0
hunar,NOUN,obl,0,1,0,1,1,mardōmān,NOUN,nmod,1,1,2,1,1,0,0,0,0.6666666666666666,False,False,1,0,0
kardan,NOUN,obl,0,0,0,1,1,kār,NOUN,nmod,1,1,2,2,1,0,0,0,0.5,True,True,1,0,0
kāmag,NOUN,nsubj,0,0,0,1,1,xēšm,NOUN,nmod,0,1,2,1,1,0,0,1,1.0,False,False,1,0,0
rāh,NOUN,nmod,0,0,0,1,1,wahišt,PROPN,nmod,1,1,2,1,2,0,1,1,0.0,False,False,1,0,0
wirrōyišn,NOUN,nsubj,0,0,0,1,1,rāst,ADJ,amod,0,1,3,2,1,0,0,1,1.0,True,False,0,1,0
kunišn,NOUN,conj,0,0,0,1,1,nēk,ADJ,amod,0,1,2,1,1,0,0,1,0.0,True,False,0,1,0
driyōš,NOUN,advcl,0,0,0,1,1,rāst,ADJ,amod,0,1,3,3,1,0,0,1,0.0,False,False,0,1,0
pādišxā,NOUN,conj,0,0,0,0,1,nihānīgburd,ADJ,amod,0,1,2,2,1,0,0,1,0.0,False,False,0,1,0
xwēšāwand,NOUN,conj,0,0,0,1,1,driyōš,ADJ,amod,0,1,2,4,1,0,0,1,0.0,False,False,0,1,0
mard,NOUN,advcl,0,0,0,1,1,tuxšāg,ADJ,amod,0,2,4,3,0,0,0,0,0.0,False,False,0,1,0
tis,NOUN,obl,0,0,0,1,1,apassend,ADJ,amod,0,1,2,2,1,0,0,1,1.0,False,False,0,1,0
xēm,NOUN,advcl,0,0,0,1,1,nēk,ADJ,amod,0,1,2,3,1,0,0,1,0.0,False,False,0,1,0
aburnāy,NOUN,conj,0,0,0,0,1,kōr,ADJ,amod,0,1,1,1,0,0,0,0,0.0,False,False,0,1,0
buzešk,NOUN,conj,0,0,0,1,1,nēk,ADJ,amod,0,1,1,1,0,0,0,0,0.0,False,False,0,1,0
zan,NOUN,conj,0,0,0,1,1,xwēš,ADJ,amod,0,1,2,3,1,0,0,1,0.0,False,False,0,2,0
zan,NOUN,conj,0,0,0,1,1,nēk,ADJ,amod,1,1,2,3,1,0,0,1,0.0,False,False,0,2,0
pus,NOUN,advcl,0,0,0,1,1,wad,ADJ,amod,4,1,2,4,1,0,0,1,0.0,False,False,0,1,0
tis,NOUN,obl,0,0,0,1,1,šud,ADJ,amod,0,1,3,2,1,0,0,0,0.5,False,True,0,1,0
menišn,NOUN,obl,0,0,0,1,1,xwēš,ADJ,amod,0,1,2,2,1,0,0,1,1.0,True,False,0,1,0
frasāwandīh,NOUN,conj,0,1,0,1,1,tis,NOUN,nmod,0,1,2,2,1,0,0,1,0.0,False,False,1,0,0
gyāg,NOUN,obj,0,0,0,1,1,nēk,ADJ,amod,0,1,1,1,0,0,0,0,0.5,False,False,0,1,0
āhōg,NOUN,obj,0,0,0,1,1,andak,ADJ,amod,0,2,2,2,0,0,0,0,0.5,False,False,0,2,0
āhōg,NOUN,obj,0,0,0,1,1,xwēš,ADJ,amod,0,1,2,2,1,0,0,1,0.5,False,False,0,2,0
āhōg,NOUN,obj,0,1,0,1,1,kasān,PRON,nmod,0,1,1,1,0,0,0,0,1.0,False,False,1,0,0
rāz,NOUN,obl,0,1,0,1,1,pādixšāyān,NOUN,nmod,0,1,2,2,1,0,0,1,1.0,False,False,1,0,0
gāh,NOUN,nmod,0,0,0,1,1,murdagān,NOUN,nmod,0,2,1,2,0,0,0,0,0.0,False,True,1,0,0
kirbagkirdan,NOUN,obj,0,0,0,1,1,gāh,NOUN,nmod,0,2,2,1,2,0,0,0,0.5,False,False,1,0,0
pādan,NOUN,nsubj,0,0,0,1,1,uzwān,NOUN,nmod,0,1,1,1,0,0,0,0,0.5,True,False,1,0,0
abāzdāšt,NOUN,nsubj,0,0,0,1,1,xēšm,NOUN,nmod,0,1,1,1,0,0,0,0,1.0,True,False,1,0,0
buništag,NOUN,obj,0,0,0,1,1,wehīh,NOUN,nmod,0,1,3,2,1,0,0,1,0.5,True,False,1,0,0
dahišn,NOUN,conj,0,0,0,1,1,nēk,ADJ,amod,0,1,2,2,1,0,0,1,0.0,True,False,0,1,0
buništag,NOUN,conj,0,0,0,1,1,wattarīh,NOUN,nmod,0,1,3,2,1,0,0,1,0.0,True,False,1,0,0
dahišn,NOUN,conj,0,0,0,1,1,wad,ADJ,amod,0,1,2,1,1,0,0,1,0.0,True,False,0,1,0
